drug_name,generic_name,drug_class,uses,common_side_effects,warnings
Aspirin,Acetylsalicylic Acid,NSAID / Antiplatelet,Pain relief; fever reduction; cardiovascular protection; anti-inflammatory,Stomach upset; heartburn; nausea; bleeding,Do not use in children under 12 (Reye's syndrome risk); avoid with active peptic ulcer; increases bleeding risk
Warfarin,Warfarin Sodium,Anticoagulant,Prevention and treatment of blood clots; atrial fibrillation; deep vein thrombosis,Bleeding; bruising; nausea; hair loss,Requires regular INR monitoring; numerous drug and food interactions; avoid in pregnancy
Metformin,Metformin Hydrochloride,Biguanide / Antidiabetic,Type 2 diabetes management; PCOS; insulin resistance,Nausea; diarrhea; stomach upset; metallic taste,Hold before contrast imaging; risk of lactic acidosis with renal impairment; avoid excess alcohol
Ibuprofen,Ibuprofen,NSAID,Pain relief; fever; inflammation; arthritis,Stomach upset; heartburn; nausea; dizziness; edema,Avoid in renal impairment and heart failure; increases GI bleeding risk; avoid in late pregnancy
Paracetamol,Acetaminophen,Analgesic / Antipyretic,Pain relief; fever reduction,Rare at therapeutic doses; nausea; liver enzyme elevation with overdose,Risk of severe hepatotoxicity in overdose; avoid excess alcohol; check all combination products for hidden paracetamol
Atorvastatin,Atorvastatin Calcium,HMG-CoA Reductase Inhibitor (Statin),High cholesterol; cardiovascular disease prevention; dyslipidemia,Muscle pain; headache; nausea; diarrhea; elevated liver enzymes,Monitor liver function; risk of myopathy and rhabdomyolysis; avoid grapefruit juice
Amoxicillin,Amoxicillin Trihydrate,Penicillin Antibiotic,Bacterial infections (respiratory; urinary; ear; skin),Diarrhea; nausea; rash; vomiting,Allergy cross-reactivity with other penicillins; may cause allergic reactions including anaphylaxis
Losartan,Losartan Potassium,Angiotensin II Receptor Blocker (ARB),Hypertension; heart failure; diabetic nephropathy,Dizziness; fatigue; hyperkalemia; elevated creatinine,Contraindicated in pregnancy; monitor renal function and potassium; avoid with potassium-sparing diuretics
Omeprazole,Omeprazole,Proton Pump Inhibitor (PPI),GERD; peptic ulcers; Zollinger-Ellison syndrome; H. pylori eradication,Headache; diarrhea; nausea; abdominal pain; hypomagnesemia with long-term use,Long-term use may increase risk of C. difficile; hypomagnesemia; bone fractures; B12 deficiency
Clopidogrel,Clopidogrel Bisulfate,P2Y12 Antiplatelet,Prevention of cardiovascular events; acute coronary syndrome; stroke prevention,Bleeding; bruising; rash; diarrhea,Serious bleeding risk; avoid PPIs (especially omeprazole); genetic variation affects metabolism (CYP2C19)
Lisinopril,Lisinopril,ACE Inhibitor,Hypertension; heart failure; post-myocardial infarction; diabetic nephropathy,Dry cough; dizziness; hyperkalemia; elevated creatinine,Contraindicated in pregnancy; risk of angioedema; monitor renal function and electrolytes
Amlodipine,Amlodipine Besylate,Calcium Channel Blocker,Hypertension; angina; Raynaud's phenomenon,Peripheral edema; flushing; headache; dizziness; fatigue,Caution in severe aortic stenosis; grapefruit interaction possible; avoid abrupt discontinuation
Metoprolol,Metoprolol Succinate,Beta-1 Selective Beta Blocker,Hypertension; heart failure; angina; arrhythmia; post-MI,Fatigue; bradycardia; dizziness; cold extremities; depression,Do not abruptly discontinue; use caution in asthma; may mask hypoglycemia symptoms in diabetics
Simvastatin,Simvastatin,HMG-CoA Reductase Inhibitor (Statin),High cholesterol; cardiovascular disease prevention,Muscle pain; headache; abdominal pain; elevated liver enzymes,Strict dose limits with certain drugs (e.g. amiodarone); avoid grapefruit juice; risk of myopathy
Clarithromycin,Clarithromycin,Macrolide Antibiotic,Respiratory infections; H. pylori eradication; MAC prophylaxis in HIV,Diarrhea; nausea; abdominal pain; altered taste; headache,Multiple drug interactions via CYP3A4; avoid in QT prolongation; hepatotoxicity possible
Fluoxetine,Fluoxetine Hydrochloride,Selective Serotonin Reuptake Inhibitor (SSRI),Depression; OCD; panic disorder; bulimia; PMDD,Nausea; insomnia; headache; sexual dysfunction; anxiety,Risk of serotonin syndrome with MAOIs; monitor for suicidality in young patients; long half-life
Sertraline,Sertraline Hydrochloride,Selective Serotonin Reuptake Inhibitor (SSRI),Depression; anxiety; PTSD; OCD; panic disorder,Nausea; diarrhea; insomnia; sexual dysfunction; dizziness,Risk of serotonin syndrome; monitor for suicidality; taper on discontinuation
Levothyroxine,Levothyroxine Sodium,Thyroid Hormone Replacement,Hypothyroidism; TSH suppression in thyroid cancer,Heart palpitations; weight loss; insomnia; tremor with excessive dosing,Take on empty stomach; multiple absorption interactions; narrow therapeutic index; monitor TSH
Albuterol,Salbutamol,Short-Acting Beta-2 Agonist (SABA),Acute bronchospasm; asthma; COPD exacerbation,Tremor; tachycardia; palpitations; headache; hypokalemia,Overuse may mask worsening asthma; monitor heart rate; hypokalemia risk with high doses
Prednisone,Prednisone,Systemic Corticosteroid,Inflammation; autoimmune disorders; allergies; asthma; COPD exacerbations,Weight gain; fluid retention; hyperglycemia; insomnia; mood changes,Long-term use causes adrenal suppression; do not abruptly discontinue; increases infection risk
Gabapentin,Gabapentin,Anticonvulsant / Neuropathic Pain Agent,Epilepsy; neuropathic pain; restless legs syndrome; postherpetic neuralgia,Dizziness; somnolence; fatigue; peripheral edema; ataxia,Risk of respiratory depression especially with opioids; taper on discontinuation; adjust dose in renal impairment
Tramadol,Tramadol Hydrochloride,Opioid Analgesic / SNRI,Moderate-to-severe pain,Nausea; dizziness; constipation; headache; somnolence,Risk of serotonin syndrome; seizure risk; abuse potential; avoid with MAOIs; adjust in renal and hepatic impairment
Ciprofloxacin,Ciprofloxacin Hydrochloride,Fluoroquinolone Antibiotic,UTIs; respiratory infections; gastrointestinal infections; anthrax prophylaxis,Nausea; diarrhea; dizziness; headache; tendon pain,Risk of tendinitis and tendon rupture; QT prolongation; avoid in children; Clostridium difficile risk
Metronidazole,Metronidazole,Nitroimidazole Antibiotic / Antiprotozoal,Anaerobic infections; H. pylori; C. difficile; trichomoniasis; bacterial vaginosis,Nausea; metallic taste; dizziness; headache,Disulfiram-like reaction with alcohol; avoid alcohol during and 48 hours after treatment; neurotoxicity with prolonged use
Furosemide,Furosemide,Loop Diuretic,Edema (cardiac; hepatic; renal); hypertension; hypercalcemia,Electrolyte imbalances; dehydration; dizziness; ototoxicity; hyperuricemia,Monitor electrolytes especially potassium; ototoxicity with high doses; avoid in anuria
Spironolactone,Spironolactone,Potassium-Sparing Diuretic / Aldosterone Antagonist,Heart failure; hyperaldosteronism; edema; acne; hirsutism,Hyperkalemia; gynecomastia; menstrual irregularities; dizziness,Risk of hyperkalemia especially with ACE inhibitors/ARBs; avoid in renal failure; monitor potassium
Digoxin,Digoxin,Cardiac Glycoside,Heart failure; atrial fibrillation; atrial flutter,Nausea; vomiting; visual disturbances (yellow-green halos); bradycardia; arrhythmia,Narrow therapeutic index; requires regular serum level monitoring; multiple drug interactions
Hydrochlorothiazide,Hydrochlorothiazide,Thiazide Diuretic,Hypertension; edema; heart failure; diabetes insipidus,Electrolyte imbalances; hyperuricemia; hyperglycemia; photosensitivity,Monitor electrolytes; may worsen gout; avoid in severe renal impairment; sulfa allergy cross-reactivity
Venlafaxine,Venlafaxine Hydrochloride,Serotonin-Norepinephrine Reuptake Inhibitor (SNRI),Depression; generalized anxiety disorder; panic disorder; social anxiety; neuropathic pain,Nausea; insomnia; dry mouth; increased blood pressure; sexual dysfunction,Risk of serotonin syndrome; hypertension monitoring required; taper on discontinuation
Quetiapine,Quetiapine Fumarate,Atypical Antipsychotic,Schizophrenia; bipolar disorder; depression (adjunct); insomnia (off-label),Somnolence; weight gain; dry mouth; constipation; metabolic syndrome,Metabolic monitoring required; QT prolongation; risk of tardive dyskinesia; increased mortality in elderly with dementia
Risperidone,Risperidone,Atypical Antipsychotic,Schizophrenia; bipolar disorder; irritability in autism,Weight gain; somnolence; EPS; prolactin elevation; metabolic syndrome,Risk of tardive dyskinesia; QT prolongation; monitor metabolic parameters; increased mortality in elderly with dementia
Lithium,Lithium Carbonate,Mood Stabilizer,Bipolar disorder; mania; depression augmentation,Tremor; polyuria; weight gain; nausea; cognitive blunting,Narrow therapeutic index; requires regular serum level monitoring; nephrotoxicity; interactions with NSAIDs and diuretics
Carbamazepine,Carbamazepine,Anticonvulsant / Mood Stabilizer,Epilepsy; trigeminal neuralgia; bipolar disorder,Dizziness; somnolence; nausea; diplopia; ataxia; rash,Risk of Stevens-Johnson syndrome (especially in Asians with HLA-B*1502); multiple drug interactions via CYP3A4; SJS/TEN risk
Phenytoin,Phenytoin Sodium,Anticonvulsant,Epilepsy; status epilepticus; neuropathic pain,Gingival hyperplasia; ataxia; nystagmus; hirsutism; osteoporosis,Narrow therapeutic index; multiple drug interactions; requires monitoring; teratogenic; IV formulation causes cardiac arrhythmia
