drug1,drug2,severity,risk_score,description,recommendation
Warfarin,Aspirin,High,92,Concurrent use significantly increases bleeding risk. Aspirin inhibits platelet aggregation while warfarin inhibits clotting factors; together they produce additive hemorrhagic risk including life-threatening GI and intracranial bleeding.,Avoid combination unless under strict specialist supervision. If both are required (e.g. mechanical heart valve with AF) use lowest effective aspirin dose and monitor INR frequently.
Warfarin,Ibuprofen,High,88,NSAIDs such as ibuprofen inhibit platelet function and cause GI mucosal damage; they also displace warfarin from plasma proteins and inhibit its metabolism via CYP2C9 raising INR unpredictably.,Avoid concurrent use. Use paracetamol for analgesia where possible. If an NSAID is essential add a PPI and monitor INR closely.
Clopidogrel,Aspirin,Moderate,65,Dual antiplatelet therapy increases bleeding risk significantly versus either agent alone. Although used intentionally in some ACS/stent patients the combination requires careful risk-benefit assessment.,Use dual antiplatelet therapy only when clinically indicated (e.g. post-PCI). Limit duration and co-prescribe a PPI to reduce GI bleeding risk.
Metformin,Alcohol,Moderate,58,Alcohol inhibits gluconeogenesis and increases lactic acid production. Combined with metformin this raises the risk of lactic acidosis particularly with binge drinking and in patients with hepatic impairment.,Advise patients to limit alcohol to moderate levels and avoid binge drinking. Monitor for signs of lactic acidosis (myalgia; weakness; abdominal pain).
Atorvastatin,Clarithromycin,High,85,Clarithromycin is a potent CYP3A4 inhibitor. It markedly increases atorvastatin plasma concentrations raising the risk of myopathy and potentially rhabdomyolysis with acute kidney injury.,Avoid concurrent use where possible. If antibiotic therapy is necessary consider using azithromycin (weaker CYP3A4 effect) and temporarily withhold atorvastatin during the course.
Simvastatin,Clarithromycin,High,90,Clarithromycin substantially increases simvastatin AUC by >10-fold via CYP3A4 inhibition creating very high risk of rhabdomyolysis.,Withhold simvastatin during clarithromycin treatment. Switch to pravastatin or rosuvastatin if statin therapy must continue during the antibiotic course.
Warfarin,Clarithromycin,High,87,Clarithromycin inhibits CYP3A4 and CYP2C9 thereby increasing warfarin exposure. It also reduces vitamin K-producing gut flora. INR may rise sharply and unpredictably.,Monitor INR very closely during and for 1-2 weeks after clarithromycin treatment. Empirical dose reduction of warfarin may be necessary.
Lithium,Ibuprofen,High,84,NSAIDs reduce renal prostaglandin synthesis causing sodium and water retention which increases renal tubular reabsorption of lithium leading to toxic serum lithium levels.,Avoid NSAIDs in lithium-treated patients. Use paracetamol for analgesia. If an NSAID must be used reduce lithium dose; monitor serum lithium levels frequently and watch for toxicity signs.
Lithium,Furosemide,High,80,Loop diuretics cause sodium and volume depletion triggering compensatory lithium reabsorption in the proximal tubule and raising serum lithium to toxic levels.,If a loop diuretic is necessary reduce lithium dose and monitor serum levels frequently. Ensure adequate sodium intake and watch for toxicity symptoms.
Digoxin,Amiodarone,High,88,Amiodarone inhibits P-glycoprotein and CYP3A4 substantially increasing digoxin plasma concentrations and risk of toxicity (bradycardia; heart block; arrhythmia).,Reduce digoxin dose by 30-50% when amiodarone is introduced. Monitor digoxin serum levels and ECG. This interaction persists for weeks after amiodarone discontinuation due to its long half-life.
Methotrexate,Ibuprofen,High,86,NSAIDs reduce renal clearance of methotrexate by competing for tubular secretion leading to methotrexate toxicity (myelosuppression; mucositis; nephrotoxicity).,Avoid concurrent NSAID use with methotrexate especially at higher doses used in oncology. If necessary in low-dose rheumatological regimens monitor closely and ensure adequate hydration.
Clopidogrel,Omeprazole,Moderate,62,Omeprazole inhibits CYP2C19 reducing the metabolic activation of clopidogrel (a prodrug) by up to 45% thereby diminishing its antiplatelet effect and potentially increasing cardiovascular risk.,Prefer pantoprazole or lansoprazole over omeprazole or esomeprazole if a PPI is required alongside clopidogrel. Consider the patient's overall CV risk when selecting GI prophylaxis.
Fluoxetine,Tramadol,High,83,Fluoxetine inhibits CYP2D6 blocking tramadol activation and also adds serotonergic load. Combination risks both serotonin syndrome (agitation; hyperthermia; myoclonus) and reduced tramadol analgesia.,Avoid combination. If an SNRI/SSRI is needed alongside an opioid consider a non-serotonergic opioid such as morphine or oxycodone with close monitoring.
Sertraline,Tramadol,High,81,Tramadol inhibits serotonin reuptake; combined with sertraline this creates additive serotonergic stimulation with risk of serotonin syndrome. CYP2D6 inhibition by sertraline also alters tramadol metabolism.,Avoid concurrent use. Monitor closely for serotonin syndrome symptoms: tremor; agitation; sweating; tachycardia; hyperthermia. Use alternative analgesic if possible.
Warfarin,Fluconazole,High,91,Fluconazole is a potent CYP2C9 inhibitor. Even a single dose can double or triple warfarin exposure causing dangerous INR elevation and bleeding.,Monitor INR very closely when fluconazole is prescribed. Anticipate INR rise within 1-2 days and reduce warfarin dose proactively. Monitor until INR is stable after completing fluconazole course.
Phenytoin,Carbamazepine,Moderate,60,Both drugs are CYP3A4/CYP2C9 inducers. They reduce each other's plasma levels unpredictably making seizure control difficult. Some metabolic pathways may be inhibited raising toxicity risk.,Monitor serum levels of both drugs closely when used together. Combination is sometimes unavoidable in refractory epilepsy; specialist neurology guidance is recommended.
Valproate,Carbamazepine,Moderate,67,Carbamazepine induces the metabolism of valproate reducing its levels. Valproate inhibits the epoxidation of carbamazepine's active metabolite (carbamazepine-10 11-epoxide) increasing toxicity.,Monitor levels and clinical response for both drugs. Watch for carbamazepine toxicity signs (diplopia; dizziness) and ensure adequate valproate levels for seizure control.
Ciprofloxacin,Warfarin,Moderate,70,Ciprofloxacin inhibits CYP1A2 and reduces vitamin K production by gut flora leading to significantly elevated INR and bleeding risk.,Monitor INR 2-3 days after starting ciprofloxacin and adjust warfarin dose accordingly. Inform patients of bleeding signs and symptoms.
Metronidazole,Warfarin,High,85,Metronidazole inhibits CYP2C9 and CYP3A4 substantially increasing warfarin exposure. It also reduces gut flora vitamin K synthesis. INR can increase 2-3 fold.,Reduce warfarin dose empirically by ~25-50% when metronidazole is prescribed. Monitor INR every 2-3 days during treatment and for 1 week after completion.
Azithromycin,Warfarin,Moderate,68,Azithromycin reduces intestinal flora vitamin K synthesis and may have a mild CYP interaction raising INR.,Monitor INR during and shortly after the azithromycin course. May require temporary warfarin dose adjustment.
Spironolactone,Lisinopril,Moderate,72,Combining potassium-sparing agents (spironolactone) with ACE inhibitors (lisinopril) significantly increases risk of hyperkalaemia which can cause fatal cardiac arrhythmia.,Monitor serum potassium and renal function within 1-2 weeks of combining and periodically thereafter. Avoid in CKD. Use in heart failure is beneficial but requires vigilant monitoring.
Losartan,Spironolactone,Moderate,70,ARBs and potassium-sparing diuretics both reduce aldosterone-mediated potassium excretion creating additive hyperkalaemia risk.,Monitor potassium and renal function closely. Combination is used in heart failure under specialist supervision. Avoid in significant renal impairment.
Furosemide,Gentamicin,High,82,Both furosemide and aminoglycosides are independently ototoxic and nephrotoxic. Concurrent use markedly increases risk of permanent hearing loss and acute kidney injury.,Avoid concurrent use where possible. If both are required use minimum effective doses; monitor renal function and audiological function; ensure adequate hydration.
Colchicine,Clarithromycin,High,89,Clarithromycin is a potent CYP3A4 and P-glycoprotein inhibitor. It dramatically increases colchicine plasma levels potentially causing fatal colchicine toxicity (multi-organ failure; bone marrow suppression).,This combination is potentially fatal. Avoid in patients with renal or hepatic impairment. If unavoidable use the absolute minimum colchicine dose for the shortest period with close monitoring.
Allopurinol,Azathioprine,High,90,Allopurinol inhibits xanthine oxidase which is the primary metabolic route for azathioprine. This causes azathioprine to accumulate to toxic levels producing severe myelosuppression.,Reduce azathioprine dose by 75% when allopurinol is added. Monitor FBC very frequently. Consider alternative urate-lowering therapy to avoid this critical interaction.
